,version,month,sentiment_score,month_name
11911,27,9,0.2,September
11912,27,9,1,September
11913,27,9,0.8,September
11914,27,9,0.7,September
11872,27,9,0.6,September
847,27,9,0.65,September
11907,27,9,0.6,September
11917,27,9,0,September
845,27,9,0.226666667,September
11920,27,9,0.85,September
11921,27,9,0.7,September
11898,27,9,0.7,September
7628,27,9,0.5375,September
11896,27,9,0.5,September
11895,27,9,0.475,September
11916,27,9,0.8,September
7292,27,9,1,September
846,27,9,0.455,September
11875,27,9,0.6,September
11906,27,9,0.7,September
11873,27,9,0.7,September
11877,27,9,0.6,September
11878,27,9,0.7,September
855,27,9,0.416666667,September
11880,27,9,0.8,September
11881,27,9,0.7,September
11882,27,9,0.455,September
11874,27,9,0.9,September
11884,27,9,0.7,September
11871,27,9,0.6,September
11886,27,9,0.8,September
11888,27,9,0.375,September
11889,27,9,0.8,September
11890,27,9,0.7,September
853,27,9,0.25,September
851,27,9,-0.125,September
11894,27,9,0.6,September
11885,27,9,0.5,September
11904,27,9,0.39,September
11887,27,9,0.7,September
11815,27,9,-0.040625,September
7570,27,9,0,September
7569,27,9,1,September
7567,27,9,0.39,September
7566,27,9,0,September
7565,27,9,-0.25,September
7557,27,9,0.3,September
7555,27,9,0.3,September
7554,27,9,0.6,September
7551,27,9,0.35,September
7548,27,9,-0.1,September
7575,27,9,0.375,September
7601,27,9,0,September
7600,27,9,1,September
7598,27,9,0,September
7597,27,9,0,September
7596,27,9,0.7,September
7594,27,9,0.91,September
7573,27,9,0.91,September
7560,27,9,0.433333333,September
7592,27,9,0.45,September
7589,27,9,0.65,September
7586,27,9,0.6,September
7585,27,9,0.91,September
7583,27,9,-1,September
7582,27,9,0,September
7591,27,9,0.91,September
7590,27,9,0.55,September
7578,27,9,0.39,September
7577,27,9,0,September
7574,27,9,0.35,September
7602,27,9,0,September
7544,27,9,0.8,September
7504,27,9,-1,September
611,27,9,0.047222222,September
7513,27,9,0.91,September
7511,27,9,1,September
7509,27,9,0.35,September
7508,27,9,0.2,September
7506,27,9,-1,September
614,27,9,0.383333333,September
7547,27,9,0.8,September
7502,27,9,1,September
606,27,9,0,September
605,27,9,0.3125,September
7500,27,9,0.8,September
7499,27,9,0.136363636,September
7517,27,9,1,September
7545,27,9,0.1,September
7519,27,9,0.2,September
7523,27,9,0.3,September
7579,27,9,0.54,September
7538,27,9,0,September
7536,27,9,0,September
7534,27,9,0.6,September
7533,27,9,0,September
7529,27,9,0.39,September
7528,27,9,1,September
7526,27,9,0,September
7525,27,9,0.278571429,September
7522,27,9,0,September
7531,27,9,0.35,September
7615,27,9,0.7,September
7605,27,9,0.7,September
7614,27,9,0.39,September
7608,27,9,0.91,September
7618,27,9,1,September
7617,27,9,0,September
7532,27,9,0,September
7619,27,9,0.525,September
8677,27,9,0.5,September
4173,27,9,0.416666667,September
5719,27,9,0,September
5739,27,9,0.35,September
4153,27,9,0,September
4170,27,9,0.39,September
6353,27,9,0.5,September
5713,27,9,1,September
5656,27,9,0.316666667,September
8722,27,9,0.91,September
8720,27,9,0.2,September
5738,27,9,0,September
5667,27,9,0.3,September
8696,27,9,0.78,September
8668,27,9,0.8,September
5703,27,9,0.433333333,September
4149,27,9,0.516666667,September
5748,27,9,0.7,September
8663,27,9,0.35,September
8692,27,9,1,September
4097,27,9,0.555,September
4090,27,9,0,September
4078,27,9,0,September
4100,27,9,0,September
5812,27,9,0.7,September
4084,27,9,1,September
5802,27,9,0.5,September
4111,27,9,0.503333333,September
8661,27,9,0.78,September
8653,27,9,0.91,September
5763,27,9,0.375,September
8650,27,9,0.7,September
5774,27,9,0.8,September
5488,27,9,0,September
5791,27,9,0.166666667,September
5796,27,9,0.75,September
8635,27,9,0,September
8725,27,9,0,September
5785,27,9,-0.2,September
8817,27,9,-0.1875,September
8815,27,9,0.5,September
4346,27,9,0.8,September
4343,27,9,0.555,September
4076,27,9,0.2,September
4390,27,9,-0.65,September
4314,27,9,0,September
4312,27,9,0,September
8829,27,9,0.35,September
8806,27,9,0.45,September
5511,27,9,0.9,September
4366,27,9,0,September
4367,27,9,0.155,September
5458,27,9,0.425,September
8831,27,9,1,September
4405,27,9,0.416666667,September
5489,27,9,0.575,September
5472,27,9,-0.39,September
4399,27,9,0.7,September
4069,27,9,0.375,September
4389,27,9,0.121818182,September
4387,27,9,0.445,September
4385,27,9,0,September
4376,27,9,0.075,September
8821,27,9,0.3,September
4309,27,9,0.35,September
9691,27,9,0.6,September
4308,27,9,-0.125,September
8796,27,9,0.6,September
5594,27,9,0.3,September
